ipSAE,iPTM,Interface_pLDDT,PAE_Contacts_<3A,Confidence
0.35342428,0.32,82.61586,59,Low
0.35335556,0.63,83.9418,,Low
0.35201633,0.61,85.13969,,Low
0.3519555,0.67,80.97221,,Low
0.35188633,0.44,80.321175,,Low
0.35109696,0.59,84.74385,,Low
0.35029727,0.7,78.77018,,Low
0.35024807,0.62,84.564384,35,Low
0.35002133,0.43,72.2177,,Low
0.34957036,0.59,78.893845,42,Low
0.34904733,0.48,78.71159,,Low
0.3490236,0.52,81.067375,,Low
0.34819221,0.55,76.199905,,Low
0.34788528,0.61,,,Low
0.34774804,0.35,88.244385,,Low
0.34731296,0.63,89.308174,,Low
0.3464959,0.56,74.98367,,Low
0.34597132,0.63,,,Low
0.345932,0.54,77.645706,,Low
0.34588563,0.64,82.17423,,Low
0.3457803,0.65,89.441696,,Low
0.34551102,0.4,83.895584,,Low
0.34527364,0.69,,,Low
0.34493053,0.53,80.616806,,Low
0.3444206,0.45,83.481285,,Low
0.34431177,0.52,86.71429,,Low
0.3441477,0.67,79.682304,,Low
0.34369287,0.37,81.020065,,Low
0.3436054,0.79,80.641136,,Low
0.34337798,0.8,79.80263,,Low
0.34261602,0.68,79.02882,,Low
0.34155902,0.69,,,Low
0.33967826,0.37,78.61051,,Low
0.33962852,0.62,85.54975,,Low
0.33925477,0.53,83.91078,,Low
0.3377193,0.57,80.28115,,Low
0.3374557,0.36,79.43868,,Low
0.3372546,0.49,75.28443,,Low
0.3366241,0.54,87.75467,,Low
0.33644253,0.57,85.01941,,Low
0.33461818,0.52,85.47267,,Low
0.33396018,0.56,,,Low
0.33349493,0.59,85.440216,,Low
0.33336976,0.69,91.34854,,Low
0.33257517,0.48,77.01989,,Low
0.3324612,0.58,81.83791,,Low
0.3321165,0.51,83.06652,,Low
0.33186918,0.48,75.404465,,Low
0.3308377,0.47,74.91327,,Low
0.32935044,0.39,80.52995,,Low
0.32924402,0.48,82.22902,,Low
0.32885852,0.61,78.22069,,Low
0.32861036,0.44,,,Low
0.32806343,0.56,84.49115,,Low
0.32798004,0.61,84.16496,,Low
0.32791454,0.54,90.03343,,Low
0.3278349,0.52,83.3725,,Low
0.32713798,0.58,,,Low
0.32705563,0.64,71.99973,,Low
0.326854,0.47,78.095245,,Low
0.32630768,0.57,,,Low
0.32628858,0.47,78.54127,,Low
0.3261729,0.75,83.847435,,Low
0.3254855,0.52,79.57698,,Low
0.32547483,0.37,,,Low
0.32508162,0.52,73.83496,2,Low
0.32451236,0.46,80.24635,,Low
0.32434896,0.52,83.38086,,Low
0.32356545,0.51,87.1659,,Low
0.3235105,0.39,75.31891,,Low
0.32311347,0.42,80.747284,,Low
0.32309538,0.6,,,Low
0.32284647,0.4,81.57935,,Low
0.32233924,0.63,85.28336,,Low
0.3219964,0.48,80.57185,,Low
0.32196942,0.52,79.52,,Low
0.32133543,0.45,81.76078,,Low
0.32101032,0.52,80.523506,,Low
0.32098642,0.47,,,Low
0.32082668,0.56,83.54485,,Low
0.32040766,0.44,82.899734,,Low
0.3200544,0.63,85.333855,,Low
0.32004777,0.61,,,Low
0.31950507,0.57,81.12646,,Low
0.31883588,0.47,78.216705,,Low
0.31856185,0.6,,,Low
0.31837258,0.51,83.14782,,Low
0.31830907,0.48,83.86851,,Low
0.31823477,0.46,78.46006,,Low
0.31818807,0.49,83.9933,,Low
0.31806207,0.53,85.51336,,Low
0.31757903,0.6,74.88503,,Low
0.31739715,0.47,83.5588,,Low
0.3173465,0.61,82.47176,,Low
0.31574276,0.51,85.27143,,Low
0.3149338,0.7,83.692215,43,Low
0.31437027,0.59,78.96279,,Low
0.31421897,0.34,76.73427,3,Low
0.31391227,0.78,69.07528,,Low
0.31355488,0.52,82.17967,,Low
0.3135194,0.25,85.36314,,Low
0.3134763,0.64,86.72074,,Low
0.31317905,0.52,83.37123,,Low
0.3126707,0.58,,,Low
0.31250134,0.57,73.93387,,Low
0.31236586,0.41,79.10215,,Low
0.31180626,0.59,79.91484,2,Low
0.3117809,0.51,80.24445,,Low
0.31146342,0.59,,,Low
0.3111901,0.68,,,Low
0.3107127,0.52,76.14593,,Low
0.30994758,0.52,78.736946,,Low
0.3092671,0.77,76.307686,,Low
0.3088648,0.46,81.95528,,Low
0.30864927,0.56,,,Low
0.3085819,0.51,84.509575,,Low
0.30857623,0.68,79.08348,4,Low
0.3082537,0.56,78.00184,,Low
0.30780673,0.4,78.748604,,Low
0.30764213,0.79,87.0449,,Low
0.3076044,0.53,80.91709,1,Low
0.30711362,0.61,83.289764,,Low
0.30681902,0.54,89.76943,21,Low
0.30516812,0.52,78.138794,,Low
0.30474123,0.7,73.33246,6,Low
0.30460078,0.52,87.83367,,Low
0.30372584,0.37,82.29526,,Low
0.30321583,0.5,78.69569,,Low
0.30260053,0.39,82.17412,,Low
0.30149347,0.68,85.59111,3,Low
0.30131394,0.39,82.209366,,Low
0.30098024,0.49,85.88375,,Low
0.3002203,0.55,80.85873,,Low
0.30009475,0.42,75.42823,1,Low
